district_key,district_name,datetime,temperature_c,humidity_pct,rainfall_mm,rainfall_6h_mm,rainfall_24h_mm,temperature_6h_avg,humidity_6h_avg,heat_risk,rainfall_risk,dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,overall_weather_risk,weather_risk_level,hour,day,month,flood_target,rainfall_intensity,humidity_rain_index,flood_pressure_index
gaya,Gaya,2026-06-25 11:00:00,36.4,43,0.0,0.0,0.0,35.71666666666667,50.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,11,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 12:00:00,37.0,41,0.0,0.0,0.0,37.03333333333333,43.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,12,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 13:00:00,37.2,40,0.0,0.0,0.0,37.41666666666666,41.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,13,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 14:00:00,37.2,40,0.0,0.0,0.0,37.61666666666667,41.66666666666666,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,14,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 15:00:00,37.4,39,0.0,0.0,0.0,37.56666666666667,41.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,15,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 16:00:00,36.9,40,0.0,0.0,0.0,37.25,41.16666666666666,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,16,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 17:00:00,34.5,54,0.0,0.0,0.0,36.45,44.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,17,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 18:00:00,33.6,57,0.0,0.0,0.0,35.550000000000004,51.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,18,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 19:00:00,32.9,55,0.0,0.0,2.5,33.5,55.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,19,25,6,0,0.10416666666666667,1.375,8.676349455
gaya,Gaya,2026-06-25 20:00:00,31.8,58,0.0,1.1999999999999995,3.8,31.8,63.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,20,25,6,0,0.15833333333333333,2.2039999999999997,13.1880511716
gaya,Gaya,2026-06-25 21:00:00,31.2,60,0.0,0.3999999999999991,0.5,31.21666666666667,63.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,21,25,6,0,0.020833333333333332,0.3,1.735269891
gaya,Gaya,2026-06-25 22:00:00,30.7,63,0.0,0.0,0.0,30.65,67.33333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,22,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-25 23:00:00,30.6,65,0.0,0.0,0.0,30.36666666666667,70.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,23,25,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 00:00:00,29.9,69,0.0,0.0,0.0,30.416666666666668,67.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,0,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 01:00:00,29.6,70,0.0,0.0,0.0,29.83333333333333,70.83333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,1,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 02:00:00,29.3,70,0.0,0.0,0.0,29.61666666666667,72.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,2,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 03:00:00,29.0,71,0.0,0.0,0.0,29.416666666666668,73.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,3,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 04:00:00,28.7,71,0.0,0.0,0.0,29.133333333333336,74.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,4,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 05:00:00,28.3,75,0.0,0.0,0.0,28.83333333333333,76.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,5,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 06:00:00,27.5,84,0.2,0.1999999999999991,0.2,27.3,86.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,6,26,6,0,0.008333333333333333,0.168,0.6941079564
gaya,Gaya,2026-06-26 07:00:00,29.7,74,0.1,4.199999999999998,31.4,27.05,89.66666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,7,26,6,0,1.3083333333333333,23.236,108.97494915479999
gaya,Gaya,2026-06-26 08:00:00,32.0,62,0.0,3.299999999999998,8.6,27.73333333333333,86.83333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,8,26,6,0,0.35833333333333334,5.331999999999999,29.8466421252
gaya,Gaya,2026-06-26 09:00:00,33.3,57,0.0,1.399999999999998,1.7,29.766666666666666,76.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,9,26,6,0,0.07083333333333333,0.9689999999999999,5.8999176294
gaya,Gaya,2026-06-26 10:00:00,34.5,53,0.0,0.3999999999999979,0.4,32.016666666666666,65.33333333333333,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,10,26,6,0,0.016666666666666666,0.21200000000000002,1.3882159128
gaya,Gaya,2026-06-26 11:00:00,34.9,50,0.0,0.0,0.0,33.45,58.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,11,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 12:00:00,35.5,49,0.1,0.0999999999999979,0.1,34.6,53.16666666666666,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,12,26,6,0,0.004166666666666667,0.049,0.3470539782
gaya,Gaya,2026-06-26 13:00:00,36.0,47,0.2,0.1999999999999981,0.2,35.416666666666664,50.333333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,13,26,6,0,0.008333333333333333,0.094,0.6941079564
gaya,Gaya,2026-06-26 14:00:00,36.2,45,0.1,0.0999999999999981,0.1,35.983333333333334,48.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,14,26,6,0,0.004166666666666667,0.045,0.3470539782
gaya,Gaya,2026-06-26 15:00:00,36.5,43,0.0,0.0999999999999981,0.4,36.2,47.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,15,26,6,0,0.016666666666666666,0.172,1.3882159128
gaya,Gaya,2026-06-26 16:00:00,32.9,66,0.3,0.6999999999999982,2.3,35.333333333333336,51.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,16,26,6,0,0.09583333333333333,1.5179999999999998,7.982241498599999
gaya,Gaya,2026-06-26 17:00:00,34.0,53,0.0,0.2999999999999982,1.2000000000000002,35.31666666666667,49.5,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,17,26,6,0,0.05000000000000001,0.6360000000000001,4.1646477384
gaya,Gaya,2026-06-26 18:00:00,32.6,60,0.0,0.0999999999999982,1.8,34.733333333333334,56.833333333333336,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,18,26,6,0,0.075,1.08,6.2469716076
gaya,Gaya,2026-06-26 19:00:00,31.0,63,0.0,0.0,0.0,32.9,65.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,19,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 20:00:00,29.9,69,0.0,0.0,0.0,31.73333333333333,68.16666666666667,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,20,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 21:00:00,29.5,70,0.0,0.0,0.0,31.25,69.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,21,26,6,0,0.0,0.0,0.0
gaya,Gaya,2026-06-26 22:00:00,29.0,74,0.0,0.0,0.0,31.016666666666666,68.0,0,0,Gaya,3.47076538,0.000225598,3.470539782,Gaya,122,0,5429170,23.0,0,0,LOW,22,26,6,0,0.0,0.0,0.0
