dist_name_area,percent_flooded_area,parmanent_water,corrected_percent_flooded_area,district_key,dist_name_impact,human_fatality,human_injured,population,mean_flood_duration,flood_events,avg_temperature_c,avg_humidity_pct,total_rainfall_mm
Pratapgarh,0.34101676,0.239472067,0.101544693,pratapgarh,Pratapgarh,165,9,3854756,23.0,0,,,
Pratapgarh,3.66688256,0.018238429,3.648644131,pratapgarh,Pratapgarh,165,9,1070109,23.0,0,,,
Pratapgarh,3.66688256,0.018238429,3.648644131,pratapgarh,Pratapgarh,165,9,3854756,23.0,0,,,
Prayagraj,8.8123858,0.784955122,8.027430678,prayagraj,Prayagraj,277,5,7094453,18.0,0,,,
Puducherry,1.760373358,0.820562264,0.939811094,puducherry,Puducherry,6,0,1148821,4.0,0,,,
Pudukkottai,0.699430563,0.085746267,0.613684296,pudukkottai,Pudukkottai,46,4,1827769,6.0,0,,,
Pulwama,3.270901569,0.279219117,2.991682452,pulwama,Pulwama,76,17,1008086,4.0,0,,,
Punch,0.738012141,0.059684491,0.67832765,punch,Punch,155,13,697454,4.0,0,,,
Pune,1.079353461,1.091416421,0.01206296,pune,Pune,547,119,11979873,2.0,0,,,
Purba Bardhaman,8.794297365,0.24975544,8.544541925,purbabardhaman,Purba Bardhaman,45,0,4891157,34.0,0,,,
Purba Champaran,9.508604013,0.12116348,9.387440533,purbachamparan,Purba Champaran,184,20,6322257,19.0,0,,,
Purba Medinipur,17.52355839,2.04670632,15.47685207,purbamedinipur,Purba Medinipur,302,17,5760374,10.0,0,,,
Purbi Singhbhum,1.736697053,0.089703785,1.646993268,purbisinghbhum,Purbi Singhbhum,32,0,2787911,3.0,0,,,
Puri,18.91181616,18.5900097,0.32180646,puri,Puri,267,0,1855870,22.0,0,,,
Purnia,6.353941784,0.033127573,6.320814211,purnia,Purnia,166,0,4127576,21.0,0,,,
Puruliya,0.817297747,0.509342358,0.307955389,puruliya,Puruliya,54,0,3407465,32.0,0,,,
Rae Bareli,5.209973941,0.023735469,5.186238472,raebareli,Rae Bareli,45,0,2819588,30.0,0,,,
Raichur,1.42584206,0.565825072,0.860016988,raichur,Raichur,141,34,2140588,8.0,0,,,
Raigarh,1.171171998,0.340147342,0.831024656,raigarh,Raigarh,328,93,1654533,3.0,0,,,
Raigarh,1.171171998,0.340147342,0.831024656,raigarh,Raigarh,328,93,3072698,3.0,0,,,
Raigarh,2.063545631,2.02693479,0.036610841,raigarh,Raigarh,328,93,1654533,3.0,0,,,
Raigarh,2.063545631,2.02693479,0.036610841,raigarh,Raigarh,328,93,3072698,3.0,0,,,
Raipur,1.037598285,0.445146211,0.592452074,raipur,Raipur,39,66,2814996,3.0,0,,,
Raisen,1.851820563,0.547154614,1.304665949,raisen,Raisen,56,12,1582981,5.0,0,,,
Rajanna Sircilla,0.563623248,0.564767428,0.00114418,rajannasircilla,Rajanna Sircilla,1,0,587140,9.0,0,,,
Rajgarh,0.937282124,0.464455125,0.472826999,rajgarh,Rajgarh,21,3,1797738,5.0,0,,,
Rajkot,0.801285355,0.493588848,0.307696507,rajkot,Rajkot,1726,8,3534875,18.0,0,,,
Rajnandgaon,0.602269912,0.353818517,0.248451395,rajnandgaon,Rajnandgaon,23,14,1792617,2.0,0,,,
Rajouri,0.301855404,0.017946919,0.283908485,rajouri,Rajouri,109,18,659577,4.0,0,,,
Rajsamand,0.253865414,0.088450607,0.165414807,rajsamand,Rajsamand,17,0,1353032,32.0,0,,,
Ramanagara,1.21544654,0.259579863,0.955866677,ramanagara,Ramanagara,23,1,1168086,17.0,0,,,
Ramanathapuram,3.269130248,1.290662657,1.978467591,ramanathapuram,Ramanathapuram,103,17,1550443,7.0,0,,,
Ramban,0.754358554,0.309949623,0.444408931,ramban,Ramban,49,18,360350,5.0,0,,,
Ramgarh,0.955188073,0.516207464,0.438980609,ramgarh,Ramgarh,4,11,1068909,2.0,0,,,
Rampur,4.515924008,0.0,4.515924008,rampur,Rampur,52,0,2830370,23.0,0,,,
Ranchi,0.833116849,0.368094084,0.465022765,ranchi,Ranchi,45,6,3525357,5.0,0,,,
Ranga Reddy,0.412349188,0.327322292,0.085026896,rangareddy,Ranga Reddy,1,0,3667925,4.0,0,,,
Ranipet,1.50587668,0.142824545,1.363052135,ranipet,Ranipet,16,4,1198951,10.0,0,,,
Ratlam,0.690751655,0.102150461,0.588601194,ratlam,Ratlam,24,0,1682145,6.0,0,,,
Ratnagiri,1.554240455,0.978975411,0.575265044,ratnagiri,Ratnagiri,280,72,1532470,3.0,0,,,
Rayagada,1.514776096,0.065376151,1.449399945,rayagada,Rayagada,31,0,1127993,31.0,0,,,
Reasi,1.749523708,0.510462262,1.239061446,reasi,Reasi,63,18,394393,5.0,0,,,
Rewa,0.994456438,0.175699644,0.818756794,rewa,Rewa,38,25,2794552,5.0,0,,,
Rewari,0.830835644,0.002779906,0.828055738,rewari,Rewari,5,0,1012074,6.0,0,,,
Ribhoi,1.874505797,0.159366599,1.715139198,ribhoi,Ribhoi,14,1,389832,3.0,0,,,
Rohtak,1.003708527,0.003867208,0.999841319,rohtak,Rohtak,52,5,1194736,7.0,0,,,
Rohtas,4.672962273,0.800130744,3.872831529,rohtas,Rohtas,82,0,3605080,29.0,0,,,
Rudraprayag,1.443384607,0.040330005,1.403054602,rudraprayag,Rudraprayag,1324,79,248925,2.0,0,,,
Rupnagar,8.530840592,0.471251752,8.05958884,rupnagar,Rupnagar,48,6,716979,6.0,0,,,
Sabar Kantha,0.981927574,0.655214573,0.326713001,sabarkantha,Sabar Kantha,91,0,1581118,16.0,0,,,
Sagar,0.895085498,0.240442317,0.654643181,sagar,Sagar,46,8,2792584,5.0,0,,,
Saharanpur,2.705190205,0.020060771,2.685129434,saharanpur,Saharanpur,215,9,4096003,23.0,0,,,
Saharsa,8.841447371,0.644150281,8.19729709,saharsa,Saharsa,167,9,2422652,23.0,0,,,
Sahibganj,8.050315684,2.307096524,5.74321916,sahibganj,Sahibganj,3,0,1863699,5.0,0,,,
Sahibzada Ajit Singh Nag*,0.112972873,0.010724633,0.10224824,sahibzadaajitsinghnag,Sahibzada Ajit Singh Nag*,0,0,1662669,10.0,0,,,
Saiha,2.96841934,0.016731928,2.951687412,saiha,Saiha,7,0,65651,4.0,0,,,
